IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,NN_idx,LAT_pred,LON_pred,geodesic
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,2,12,353,0.2742415107956457,0.0451132812117336,0.6806452318211216,123067,20.420701,-86.922828,2566.5500108218403
1000304467_1a75a200b1_1296_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,0,4,325,0.4144071981658115,0.2209120956432286,0.3646807240505865,114152,25.790654,-80.130045,1660.0837768336032
1001048550_8e4b47d165_1051_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,1,8,36,0.0073260589499772,0.969902786099567,0.022771086561514,392809,35.777048,-78.638611,1335.6025178605798
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,91728102@N00,29.976052,122.390356,2,6,273,0.0038678313118225,0.4766645653071464,0.5194675129778261,14198,30.221497,122.316689,28.11989478554857
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,97522422@N00,46.478536,30.758714,0,0,198,0.973877783486106,0.0024525042022389,0.0236696602595065,135143,50.4501,30.5234,441.9771872791384
1008845063_ace4ef829f_1204_97522422@N00.jpg,97522422@N00,46.478536,30.758714,2,11,61,0.3293921160957325,0.0514122805520855,0.619195551654002,379756,55.7558,37.6176,1137.0446879558388
101220879_0a1be45b79_33_24311489@N00.jpg,24311489@N00,42.249915,-87.82711,1,8,249,7.1890073538305455e-06,0.9968880413262404,0.003104854417826,343265,43.0731,-89.4012,158.16389120536115
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,96928198@N00,62.140088,6.074967,1,7,350,0.0423872550824067,0.9495366928697012,0.0080761330469608,339641,0.0,0.0,6911.560979695579
1019846234_5e471a10e2_1155_97522422@N00.jpg,97522422@N00,42.197494,44.693069,0,2,95,0.5993098890070883,0.1642040295000697,0.2364859955902147,15250,53.461432,-2.560729,3674.557304719946
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,7132415@N03,-0.400997,-90.704498,1,6,191,0.2229462628503071,0.4703152232535217,0.3067385358962973,18604,-0.383106,-90.342152,40.383718513260376
1023756068_20c3ffc329_1039_70323761@N00.jpg,70323761@N00,40.807694,-73.962262,2,14,364,0.0159130746743549,0.0089749497880653,0.975111924019192,21664,38.8896,-77.0352,338.3667724459225
1029739337_ff06001d12_1361_7132415@N03.jpg,7132415@N03,-0.292509,-90.532493,1,7,306,0.0073751897578395,0.8696209751940369,0.1230038030320894,297381,6.887486,79.891719,18736.90867333282
103385471_f54982a801_29_73293249@N00.jpg,73293249@N00,46.006873,7.279987,1,7,232,0.000328934720974,0.9230054553145236,0.0766656327236603,249033,46.8347,9.6062,201.10101054761537
103398485_db45794d93_36_73293249@N00.jpg,73293249@N00,46.21488,7.049309,1,6,305,7.460072349618763e-05,0.5837487230224809,0.4161766379567807,490829,46.719444,7.307666,59.494458690442684
103404365_f852148f5b_34_73293249@N00.jpg,73293249@N00,46.080783,7.399454,2,15,132,0.0258845731241308,0.0010952501105023,0.9730201618399974,634816,42.669738,0.642747,658.1450002966959
103433117_266c57c2e6_29_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,73,6.061938011425738e-05,0.9905226579893558,0.0094167819743131,465481,45.96096,6.94477,25.87758059166878
103433770_9b651cfd20_32_73293249@N00.jpg,73293249@N00,46.167286,7.099698,1,7,30,0.0820246114215557,0.831006660909793,0.0869687034854536,6349,46.021073,7.749117,52.78474679117433
103442236_09c8d53dbc_37_73293249@N00.jpg,73293249@N00,51.501821,-0.140655,2,11,84,2.8096916501851865e-05,0.0027554163005714,0.997216345340494,538851,51.5081,-0.0761,4.53635897840483
103457638_224c119b11_30_73293249@N00.jpg,73293249@N00,45.999982,7.298584,1,6,234,0.0002048433949646,0.9043055024326064,0.095489665329417,256252,42.665073,77.019031,5391.232122376879
103465274_3e879729e0_33_73293249@N00.jpg,73293249@N00,46.08035,7.209918,2,12,294,0.0050516734091967,0.0694753424051022,0.9254729428576636,436486,45.945,6.866,30.590037356151726
1034783376_9e3db4b81a_1016_70323761@N00.jpg,70323761@N00,40.820751,-73.94892,2,15,77,0.003225387381498,0.0659655842178494,0.930809045210907,37945,42.3598,-71.0916,293.19300347737493
103558896_55f8059bc9_35_73293249@N00.jpg,73293249@N00,43.642423,-79.387153,2,15,307,4.732878279864114e-06,8.344243990691252e-05,0.9999118898451004,15991,43.648,-79.385,0.64352293053514
