IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,response
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,2,12,353,0.2742415107956457,0.0451132812117336,0.6806452318211216,"[None, '{""latitude"": 21.1266, ""longitude"": -86.7435}', '```json\n{""latitude"": 21.1667, ""longitude"": -86.8515}\n```', None, None, '{""latitude"": 20.6296, ""longitude"": -87.0739}', '```json\n{""latitude"": 20.423, ""longitude"": -86.922}\n```', '```json\n{""latitude"": 20.423, ""longitude"": -86.922}\n```', '```json\n{""latitude"": 20.6471, ""longitude"": -86.9497}\n```', '```json\n{""latitude"": 21.1619, ""longitude"": -86.8515}\n```']"
1000304467_1a75a200b1_1296_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,0,4,325,0.4144071981658115,0.2209120956432286,0.3646807240505865,"['{""latitude"": 25.790654, ""longitude"": -80.130045}', '{""latitude"": 25.0881, ""longitude"": -77.5461}', '```json\n{""latitude"": 25.789, ""longitude"": -80.140}\n```', '{""latitude"": 25.790654,""longitude"": -80.130045}', '{""latitude"": 25.0833, ""longitude"": -77.3333}', None, '```json\n{""latitude"": 24.303,-76.627}\n```', '```json\n{""latitude"": 25.0834, ""longitude"": -77.3505}\n```', '```json\n{""latitude"": 25.0769, ""longitude"": -77.3493}\n```', None]"
1001048550_8e4b47d165_1051_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,1,8,36,0.0073260589499772,0.969902786099567,0.022771086561514,"[None, None, None, None, None, '```json\n{""latitude"": 29.6516, ""longitude"": -82.3248}\n```', None, '{""latitude"": 29.813785, ""longitude"": -95.546587}', None, '{""latitude"": 27.9659, ""longitude"": -82.8001}']"
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,91728102@N00,29.976052,122.390356,2,6,273,0.0038678313118225,0.4766645653071464,0.5194675129778261,"[None, '{""latitude"": 24.695, ""longitude"": 121.794}', '```json\n{""latitude"": 30.0151, ""longitude"": 122.0322}\n```', None, '{""latitude"": 22.2213, ""longitude"": 113.5456}', ""I'm unable to provide accurate GPS coordinates for the location shown in the image."", None, '```json\n{""latitude"": 39.6183, ""longitude"": -105.0177}\n```', '{""latitude"": 23.1167, ""longitude"": 113.25}', '```json\n{""latitude"": 30.6803, ""longitude"": 122.4740}\n```']"
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,97522422@N00,46.478536,30.758714,0,0,198,0.973877783486106,0.0024525042022389,0.0236696602595065,"[None, '```json\n{""latitude"": 50.4501, ""longitude"": 30.5234}\n```', '```json\n{""latitude"": 49.9935, ""longitude"": 36.2304}\n```', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', None, None, '{""latitude"": 50.4501, ""longitude"": 30.5234}', '```json\n{""latitude"": 50.4501, ""longitude"": 30.5234}\n```']"
1008845063_ace4ef829f_1204_97522422@N00.jpg,97522422@N00,46.478536,30.758714,2,11,61,0.3293921160957325,0.0514122805520855,0.619195551654002,"['{""latitude"": 47.2225,""longitude"": 38.8969}', '```json\n{""latitude"": 44.6205, ""longitude"": 33.5253}\n```', None, '```json\n{""latitude"": 46.4846, ""longitude"": 30.7326}\n```', '{""latitude"": 51.1694, ""longitude"": 71.4491}', '{""latitude"": 46.4825, ""longitude"": 30.7233}', None, '```json\n{""latitude"": 46.4857, ""longitude"": 30.7434}\n```', None, '{""latitude"": 46.4825, ""longitude"": 30.7233}']"
101220879_0a1be45b79_33_24311489@N00.jpg,24311489@N00,42.249915,-87.82711,1,8,249,7.1890073538305455e-06,0.9968880413262404,0.003104854417826,"['{""latitude"": 43.0731, ""longitude"": -89.4012}', '```json\n{""latitude"": 44.9778,""longitude"": -93.2650}\n```', '{""latitude"": 44.5028, ""longitude"": -89.5301}', '{""latitude"": 64.1466, ""longitude"": -21.9426}', '{""latitude"": 44.9778, ""longitude"": -93.2650}', '```json\n{""latitude"": 46.4857,""longitude"": -94.8481}\n```', None, ""I'm sorry, I can't determine the location from the image provided."", '```json\n{""latitude"": 45.4642, ""longitude"": -93.3656}\n```', '{""latitude"": 45.005, ""longitude"": -93.236}']"
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,96928198@N00,62.140088,6.074967,1,7,350,0.0423872550824067,0.9495366928697012,0.0080761330469608,"['{""latitude"": 40.7306, ""longitude"": -73.9352}', None, ""I'm sorry, I can't determine the location from this image."", None, '{""latitude"": 37.7749, ""longitude"": -122.4194}', None, None, ""I'm sorry, I can't determine the location based on this image."", None, '{""latitude"": 37.7749, ""longitude"": -122.4194}']"
1019846234_5e471a10e2_1155_97522422@N00.jpg,97522422@N00,42.197494,44.693069,0,2,95,0.5993098890070883,0.1642040295000697,0.2364859955902147,"['{""latitude"": 53.461432,""longitude"": -2.560729}', '{""latitude"": 27.174961, ""longitude"": 78.042385}', '{""latitude"": 37.8735,""longitude"": -122.251}', '```json\n{""latitude"": 51.509865, ""longitude"": -0.118092}\n```', None, None, None, '{""latitude"": 40.6892, ""longitude"": -74.0445}', '```json\n{""latitude"": 30.3285, ""longitude"": 35.4444}\n```', None]"
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,7132415@N03,-0.400997,-90.704498,1,6,191,0.2229462628503071,0.4703152232535217,0.3067385358962973,"['{""latitude"": -0.7536, ""longitude"": -90.3354}', '{""latitude"": -0.8305, ""longitude"": -89.6400}', '{""latitude"": -0.8293, ""longitude"": -89.3656}', '{""latitude"": -0.8293, ""longitude"": -89.5597}', '{""latitude"": -0.666667, ""longitude"": -90.55}', '{""latitude"": -0.6664, ""longitude"": -90.5636}', '```json\n{""latitude"": -0.665, ""longitude"": -90.545}\n```', '{""latitude"": -0.670006, ""longitude"": -90.227786}', '{""latitude"": -0.829278,""longitude"": -89.271194}', '{""latitude"": -0.7505, ""longitude"": -90.3123}']"
