IMG_ID,AUTHOR,LAT,LON,S3_Label,S16_Label,S365_Label,Prob_indoor,Prob_natural,Prob_urban,candidate_0_gps,candidate_1_gps,candidate_2_gps,candidate_3_gps,candidate_4_gps,candidate_5_gps,candidate_6_gps,candidate_7_gps,candidate_8_gps,candidate_9_gps,candidate_10_gps,candidate_11_gps,candidate_12_gps,candidate_13_gps,candidate_14_gps,candidate_15_gps,candidate_16_gps,candidate_17_gps,candidate_18_gps,candidate_19_gps,reverse_0_gps,reverse_1_gps,reverse_2_gps,reverse_3_gps,reverse_4_gps,reverse_5_gps,reverse_6_gps,reverse_7_gps,reverse_8_gps,reverse_9_gps,reverse_10_gps,reverse_11_gps,reverse_12_gps,reverse_13_gps,reverse_14_gps,reverse_15_gps,reverse_16_gps,reverse_17_gps,reverse_18_gps,reverse_19_gps,rag_response
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,2,12,353,0.2742415107956457,0.0451132812117336,0.6806452318211216,"[45.520661, -122.681751]","[52.511846, 13.242774]","[56.158552, 10.192222]","[37.875344, -122.249979]","[42.831918, 13.886547]","[50.432484, -3.552424]","[51.508047, -0.140018]","[50.810087, 4.32047]","[41.670138, 9.38654]","[45.478399, 9.183046]","[47.792558, 19.215538]","[16.466235, 102.78631]","[47.19881, 9.28276]","[40.434883, -3.690152]","[54.658343, -5.672721]","[34.077331, -84.253292]","[31.745752, -106.259114]","[18.559811, -103.641088]","[39.319226, -75.777769]","[50.311269, 87.672958]","[45.520661, -122.681751]","[52.511846, 13.242774]","[56.158552, 10.192222]","[37.875344, -122.249979]","[42.831918, 13.886547]","[50.432484, -3.552424]","[51.508047, -0.140018]","[50.810087, 4.32047]","[41.670138, 9.38654]","[45.478399, 9.183046]","[47.792558, 19.215538]","[16.466235, 102.78631]","[47.19881, 9.28276]","[40.434883, -3.690152]","[54.658343, -5.672721]","[34.077331, -84.253292]","[31.745752, -106.259114]","[18.559811, -103.641088]","[39.319226, -75.777769]","[50.311269, 87.672958]","['```json\n{""latitude"": 20.420701, ""longitude"": -86.922828}\n```', '```json\n{""latitude"": 21.137537,""longitude"": -86.745036}\n```', '```json\n{""latitude"": 20.210943, ""longitude"": -87.465863}\n```', '{""latitude"": 21.1619, ""longitude"": -86.8515}', '```json\n{""latitude"": 20.416675, ""longitude"": -87.316667}\n```', '```json\n{""latitude"": 21.1619, ""longitude"": -86.8515}\n```', '```json\n{""latitude"": 21.166745, ""longitude"": -86.847249}\n```', ""I'm unable to determine the location from the image provided."", '```json\n{""latitude"": 20.423, ""longitude"": -86.922}\n```', ""I'm unable to analyze the specific location of this image.""]"
1000304467_1a75a200b1_1296_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,0,4,325,0.4144071981658115,0.2209120956432286,0.3646807240505865,"[56.158552, 10.192222]","[52.511846, 13.242774]","[47.792558, 19.215538]","[40.434883, -3.690152]","[16.466235, 102.78631]","[28.310058, -16.564339]","[52.370897, 4.843597]","[37.546253, -122.30313]","[31.745752, -106.259114]","[42.831918, 13.886547]","[26.924815, 70.918818]","[45.512782, -122.675743]","[41.670138, 9.38654]","[47.19881, 9.28276]","[50.810087, 4.32047]","[37.172783, -3.605575]","[50.432484, -3.552424]","[45.520661, -122.681751]","[45.478399, 9.183046]","[54.71891, -5.803935]","[56.158552, 10.192222]","[52.511846, 13.242774]","[47.792558, 19.215538]","[40.434883, -3.690152]","[16.466235, 102.78631]","[28.310058, -16.564339]","[52.370897, 4.843597]","[37.546253, -122.30313]","[31.745752, -106.259114]","[42.831918, 13.886547]","[26.924815, 70.918818]","[45.512782, -122.675743]","[41.670138, 9.38654]","[47.19881, 9.28276]","[50.810087, 4.32047]","[37.172783, -3.605575]","[50.432484, -3.552424]","[45.520661, -122.681751]","[45.478399, 9.183046]","[54.71891, -5.803935]","[None, '{""latitude"": 28.310058, ""longitude"": -16.564339}', '{""latitude"": 28.310058, ""longitude"": -16.564339}', '{""latitude"": 28.310058, ""longitude"": -16.564339}', '{""latitude"": 28.393611,""longitude"": -81.561111}', '```json\n{""latitude"": 28.310058, ""longitude"": -16.564339}\n```', '{""latitude"": 28.310058, ""longitude"": -16.564339}', '{""latitude"": 28.310058, ""longitude"": -16.564339}', '{""latitude"": 28.310058, ""longitude"": -16.564339}', '{""latitude"": 28.393673,""longitude"": -81.563874}']"
1001048550_8e4b47d165_1051_78841376@N00.jpg,78841376@N00,32.325436,-64.764404,1,8,36,0.0073260589499772,0.969902786099567,0.022771086561514,"[56.518239, -4.76828]","[50.920905, -3.481872]","[51.498805, -0.169429]","[-36.829966, -73.068308]","[45.445241, 12.321102]","[45.434358, 12.329063]","[43.643531, -79.379224]","[38.239158, -85.696281]","[23.124186, 113.287628]","[47.999915, -1.724649]","[53.884258, -166.551232]","[40.5008, -74.410212]","[40.356425, -8.834072]","[35.24621, -96.688517]","[37.539935, -77.451803]","[37.951456, -87.673897]","[52.652481, -1.530359]","[20.118086, -155.584339]","[-29.790637, 151.138025]","[37.401907, -5.93001]","[56.518239, -4.76828]","[50.920905, -3.481872]","[51.498805, -0.169429]","[-36.829966, -73.068308]","[45.445241, 12.321102]","[45.434358, 12.329063]","[43.643531, -79.379224]","[38.239158, -85.696281]","[23.124186, 113.287628]","[47.999915, -1.724649]","[53.884258, -166.551232]","[40.5008, -74.410212]","[40.356425, -8.834072]","[35.24621, -96.688517]","[37.539935, -77.451803]","[37.951456, -87.673897]","[52.652481, -1.530359]","[20.118086, -155.584339]","[-29.790637, 151.138025]","[37.401907, -5.93001]","['```json\n{""latitude"": 35.777048,""longitude"": -78.638611}\n```', '{""latitude"": 23.124186, ""longitude"": 113.287628}', '```json\n{""latitude"": 23.124186,""longitude"": 113.287628}\n```', '```json\n{""latitude"": 23.124186, ""longitude"": 113.287628}\n```', '{""latitude"": 30.2672, ""longitude"": -97.7431}', '{""latitude"": 23.124186, ""longitude"": 113.287628}', '{""latitude"": 23.124186, ""longitude"": 113.287628}', None, ""I'm unable to specifically determine the geo-location from the image provided."", '```json\n{""latitude"": 45.445241, ""longitude"": 12.321102}\n```']"
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,91728102@N00,29.976052,122.390356,2,6,273,0.0038678313118225,0.4766645653071464,0.5194675129778261,"[46.199666, 6.1405]","[39.720024, -105.000768]","[-8.520589, 115.270614]","[55.698436, 13.185878]","[51.763431, -1.86347]","[-34.921389, 138.598055]","[13.733048, 100.505676]","[21.279097, -157.831274]","[37.034556, 140.897169]","[-22.445619, -44.525356]","[25.000386, 121.228966]","[49.836543, 8.016757]","[-25.697844, -54.432106]","[37.54342, -122.294483]","[42.219603, -87.926373]","[33.742006, -116.407388]","[34.100393, -118.328978]","[-23.513626, -46.635589]","[-37.867569, 144.882888]","[42.227087, -88.526028]","[46.199666, 6.1405]","[39.720024, -105.000768]","[-8.520589, 115.270614]","[55.698436, 13.185878]","[51.763431, -1.86347]","[-34.921389, 138.598055]","[13.733048, 100.505676]","[21.279097, -157.831274]","[37.034556, 140.897169]","[-22.445619, -44.525356]","[25.000386, 121.228966]","[49.836543, 8.016757]","[-25.697844, -54.432106]","[37.54342, -122.294483]","[42.219603, -87.926373]","[33.742006, -116.407388]","[34.100393, -118.328978]","[-23.513626, -46.635589]","[-37.867569, 144.882888]","[42.227087, -88.526028]","['{""latitude"": -23.0829, ""longitude"": 113.5333}', '```json\n{""latitude"": 30.221497,""longitude"": 122.316689}\n```', None, '{""latitude"": 30.0893, ""longitude"": 122.1092}', '```json\n{""latitude"": 30.836763,""longitude"": 121.509062}\n```', '```json\n{""latitude"": 31.032044, ""longitude"": 121.397702}\n```', '{""latitude"": -8.520589, ""longitude"": 115.270614}', '{""latitude"": 30.179890, ""longitude"": 121.920296}', '{""latitude"": -22.445619, ""longitude"": -44.525356}', '{""latitude"": 37.034556, ""longitude"": 140.897169}']"
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,97522422@N00,46.478536,30.758714,0,0,198,0.973877783486106,0.0024525042022389,0.0236696602595065,"[39.768828, -86.213407]","[33.667711, -117.746829]","[41.03806, 28.931765]","[35.906322, -78.934666]","[38.707815, -9.136741]","[52.450656, 13.290359]","[15.357031, -88.422088]","[23.982488, 121.02333]","[-6.20609, 106.853027]","[50.705481, 7.134246]","[40.676856, -73.974191]","[41.115002, -74.150032]","[20.920386, -156.694398]","[51.501075, -0.119647]","[37.768204, -122.511935]","[38.980867, 1.296295]","[36.438546, 28.214607]","[43.773061, 11.256351]","[51.570241, -0.263671]","[39.927281, -76.7328]","[39.768828, -86.213407]","[33.667711, -117.746829]","[41.03806, 28.931765]","[35.906322, -78.934666]","[38.707815, -9.136741]","[52.450656, 13.290359]","[15.357031, -88.422088]","[23.982488, 121.02333]","[-6.20609, 106.853027]","[50.705481, 7.134246]","[40.676856, -73.974191]","[41.115002, -74.150032]","[20.920386, -156.694398]","[51.501075, -0.119647]","[37.768204, -122.511935]","[38.980867, 1.296295]","[36.438546, 28.214607]","[43.773061, 11.256351]","[51.570241, -0.263671]","[39.927281, -76.7328]","['{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 50.4501, ""longitude"": 30.5234}', '{""latitude"": 49.2341, ""longitude"": 28.4682}', '{""latitude"": 49.8397, ""longitude"": 24.0297}', '{""latitude"": 50.4501, ""longitude"": 30.5234}']"
1008845063_ace4ef829f_1204_97522422@N00.jpg,97522422@N00,46.478536,30.758714,2,11,61,0.3293921160957325,0.0514122805520855,0.619195551654002,"[60.220772, 25.019141]","[64.28, -21.084167]","[50.705481, 7.134246]","[37.386986, -122.063684]","[34.14597, -118.147873]","[49.283203, 19.972972]","[-8.016731, -34.849623]","[53.387231, -1.484184]","[51.110096, 17.031126]","[25.170096, 121.438922]","[10.294029, -85.848648]","[53.63161, 9.887695]","[37.789698, -122.412236]","[45.092428, -79.517498]","[30.42861, -97.716468]","[-34.247993, 150.977082]","[48.806311, 2.106714]","[10.714881, 106.734495]","[9.58, -82.58]","[42.634025, -72.491537]","[60.220772, 25.019141]","[64.28, -21.084167]","[50.705481, 7.134246]","[37.386986, -122.063684]","[34.14597, -118.147873]","[49.283203, 19.972972]","[-8.016731, -34.849623]","[53.387231, -1.484184]","[51.110096, 17.031126]","[25.170096, 121.438922]","[10.294029, -85.848648]","[53.63161, 9.887695]","[37.789698, -122.412236]","[45.092428, -79.517498]","[30.42861, -97.716468]","[-34.247993, 150.977082]","[48.806311, 2.106714]","[10.714881, 106.734495]","[9.58, -82.58]","[42.634025, -72.491537]","['{""latitude"": 44.952117, ""longitude"": 34.102417}', '{""latitude"": 45.0157, ""longitude"": 38.9722}', '{""latitude"": 59.9343, ""longitude"": 30.3351}', '{""latitude"": 59.934280, ""longitude"": 30.335099}', '{""latitude"": 44.6166, ""longitude"": 33.5254}', '{""latitude"": 59.9343, ""longitude"": 30.3351}', '{""latitude"": 46.4825, ""longitude"": 30.7353}', '{""latitude"": 46.4825, ""longitude"": 30.7233}', '{""latitude"": 44.952116, ""longitude"": 34.102411}', '```json\n{""latitude"": 44.9537, ""longitude"": 34.1024}\n```']"
101220879_0a1be45b79_33_24311489@N00.jpg,24311489@N00,42.249915,-87.82711,1,8,249,7.1890073538305455e-06,0.9968880413262404,0.003104854417826,"[-20.558652, 25.382537]","[49.096238, -122.044517]","[34.052659, 8.456726]","[41.40242, -74.319934]","[41.902053, 12.466478]","[36.765053, 139.607391]","[41.929413, 12.503492]","[59.699884, 10.792656]","[48.667753, 6.17335]","[38.053819, -84.495592]","[57.720887, 11.989662]","[37.749176, -119.59076]","[37.788725, -122.405333]","[33.962867, -116.48529]","[54.41165, 18.556144]","[35.452355, 139.643261]","[42.227722, -85.577423]","[37.911582, -122.491539]","[39.927333, -105.672334]","[39.773301, -86.168346]","[-20.558652, 25.382537]","[49.096238, -122.044517]","[34.052659, 8.456726]","[41.40242, -74.319934]","[41.902053, 12.466478]","[36.765053, 139.607391]","[41.929413, 12.503492]","[59.699884, 10.792656]","[48.667753, 6.17335]","[38.053819, -84.495592]","[57.720887, 11.989662]","[37.749176, -119.59076]","[37.788725, -122.405333]","[33.962867, -116.48529]","[54.41165, 18.556144]","[35.452355, 139.643261]","[42.227722, -85.577423]","[37.911582, -122.491539]","[39.927333, -105.672334]","[39.773301, -86.168346]","['{""latitude"": 59.699884, ""longitude"": 10.792656}', '{""latitude"": 41.929413, ""longitude"": 12.503492}', '{""latitude"": 38.053819, ""longitude"": -84.495592}', '{""latitude"": 41.40242, ""longitude"": -74.319934}', '{""latitude"": 41.40242, ""longitude"": -74.319934}', '{""latitude"": 59.699884, ""longitude"": 10.792656}', '{""latitude"": 41.40242,""longitude"": -74.319934}', '{""latitude"": 41.40242, ""longitude"": -74.319934}', '{""latitude"": 41.40242, ""longitude"": -74.319934}', '{""latitude"": 41.902053, ""longitude"": 12.466478}']"
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,96928198@N00,62.140088,6.074967,1,7,350,0.0423872550824067,0.9495366928697012,0.0080761330469608,"[45.406231, -75.831906]","[52.383118, 9.678075]","[34.429736, -119.683089]","[41.823721, -87.974505]","[39.513444, -84.748148]","[47.535399, -120.546026]","[8.9095, 98.525666]","[46.516941, 12.974295]","[52.092506, 5.096905]","[41.057867, 29.044589]","[51.413333, -0.735333]","[58.986334, -2.963669]","[36.854694, 30.74438]","[40.69385, -74.030985]","[47.490359, 19.068607]","[-23.650027, -70.395927]","[30.04442, 31.235675]","[45.479715, -73.575644]","[46.345246, -100.273343]","[-34.735123, 135.880107]","[45.406231, -75.831906]","[52.383118, 9.678075]","[34.429736, -119.683089]","[41.823721, -87.974505]","[39.513444, -84.748148]","[47.535399, -120.546026]","[8.9095, 98.525666]","[46.516941, 12.974295]","[52.092506, 5.096905]","[41.057867, 29.044589]","[51.413333, -0.735333]","[58.986334, -2.963669]","[36.854694, 30.74438]","[40.69385, -74.030985]","[47.490359, 19.068607]","[-23.650027, -70.395927]","[30.04442, 31.235675]","[45.479715, -73.575644]","[46.345246, -100.273343]","[-34.735123, 135.880107]","[""I'm unable to provide a geolocation for this image."", ""I'm unable to determine a location from this image."", '```json\n{""latitude"": 46.516941,""longitude"": 12.974295}\n```', '{""latitude"": 52.383118,""longitude"": 9.678075}', '{""latitude"": 34.429736, ""longitude"": -119.683089}', None, '{""latitude"": 45.406231, ""longitude"": -75.831906}', None, '{ ""latitude"": 41.823721, ""longitude"": -87.974505 }', '{""latitude"": 45.406231, ""longitude"": -75.831906}']"
1019846234_5e471a10e2_1155_97522422@N00.jpg,97522422@N00,42.197494,44.693069,0,2,95,0.5993098890070883,0.1642040295000697,0.2364859955902147,"[58.022975, 7.457408]","[51.510361, -0.132554]","[34.731349, -98.503847]","[36.645834, 2.335281]","[55.70869, 21.134465]","[32.790599, -97.348197]","[22.332491, 114.190349]","[51.451008, -0.30339]","[-37.866346, 144.998052]","[38.894448, -77.078983]","[-5.880461, -35.176216]","[24.025336, 32.884144]","[48.500341, 16.597595]","[35.866238, 128.579177]","[37.425797, -122.252748]","[52.1082, 5.32986]","[25.778406, -80.172214]","[41.66044, -4.736716]","[-33.395869, 150.29608]","[34.847511, 136.540548]","[58.022975, 7.457408]","[51.510361, -0.132554]","[34.731349, -98.503847]","[36.645834, 2.335281]","[55.70869, 21.134465]","[32.790599, -97.348197]","[22.332491, 114.190349]","[51.451008, -0.30339]","[-37.866346, 144.998052]","[38.894448, -77.078983]","[-5.880461, -35.176216]","[24.025336, 32.884144]","[48.500341, 16.597595]","[35.866238, 128.579177]","[37.425797, -122.252748]","[52.1082, 5.32986]","[25.778406, -80.172214]","[41.66044, -4.736716]","[-33.395869, 150.29608]","[34.847511, 136.540548]","['{""latitude"": 51.510361, ""longitude"": -0.132554}', '{""latitude"": 36.174465, ""longitude"": -86.767960}', '{""latitude"": 27.1751, ""longitude"": 78.0421}', '{""latitude"": 34.731349, ""longitude"": -98.503847}', '{""latitude"": 51.510361, ""longitude"": -0.132554}', '{""latitude"": 34.731349, ""longitude"": -98.503847}', '{""latitude"": 22.332491, ""longitude"": 114.190349}', '```json\n{""latitude"": 51.510361, ""longitude"": -0.132554}\n```', '{""latitude"": 31.776719, ""longitude"": 35.234508}', '{""latitude"": 34.731349, ""longitude"": -98.503847}']"
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,7132415@N03,-0.400997,-90.704498,1,6,191,0.2229462628503071,0.4703152232535217,0.3067385358962973,"[41.92523, -87.701143]","[61.731261, 9.085178]","[52.399355, 13.047931]","[8.977323, -79.568481]","[42.349441, -71.078603]","[22.472666, 103.936833]","[51.292592, -0.327326]","[45.597044, -123.950543]","[53.839116, -1.72787]","[51.14362, 7.199968]","[53.545267, 9.992998]","[35.912128, 139.449401]","[38.137925, -120.464217]","[42.555016, -8.993339]","[20.94177, 106.330612]","[31.832393, 35.304479]","[69.652968, 19.066085]","[40.212101, -8.419]","[52.408407, -1.516789]","[47.286157, 9.670929]","[41.92523, -87.701143]","[61.731261, 9.085178]","[52.399355, 13.047931]","[8.977323, -79.568481]","[42.349441, -71.078603]","[22.472666, 103.936833]","[51.292592, -0.327326]","[45.597044, -123.950543]","[53.839116, -1.72787]","[51.14362, 7.199968]","[53.545267, 9.992998]","[35.912128, 139.449401]","[38.137925, -120.464217]","[42.555016, -8.993339]","[20.94177, 106.330612]","[31.832393, 35.304479]","[69.652968, 19.066085]","[40.212101, -8.419]","[52.408407, -1.516789]","[47.286157, 9.670929]","['{""latitude"": -0.383106, ""longitude"": -90.342152}', '{""latitude"": -0.666667, ""longitude"": -90.550000}', '```json\n{""latitude"": -0.829278, ""longitude"": -89.274357}\n```', '```json\n{""latitude"": -0.7558,""longitude"": -90.3151}\n```', '{""latitude"": -0.674942, ""longitude"": -90.433984}', '```json\n{""latitude"": -0.829278, ""longitude"": -89.558433}\n```', '```json\n{""latitude"": -0.829278, ""longitude"": -89.557084}\n```', '```json\n{""latitude"": -0.953769, ""longitude"": -89.592953}\n```', '{""latitude"": -0.750000, ""longitude"": -90.316667}', '{""latitude"": -0.7495893, ""longitude"": -90.3153743}']"
